coopPol	pol-{name}
coppFilter	filter-{action}-prio-{prio}-proto-{ipProto}-src-[{srcAddr}]-dst-[{dstAddr}]-srcFromP-{srcPortFrom}-srcToP-{srcPortTo}-dstFromP-{dstPortFrom}-dstToP-{dstPortTo}
coppIf	if-[{id}]
coppIfPol	coppifpol-{name}
coppLeafGen1CustomValues	leafgen1customvalues
coppLeafProfile	coppleafp-{name}
coppProtoClassP	protoclassp-{name}
coppRule	rulep-[{name}]-{type}
coppSpineGen1CustomValues	spinegen1customvalues
coppSpineProfile	coppspinep-{name}
ctrlrCimcNode	cimcnode-{apicId}
ctrlrInst	controller
datetimeFormat	format-{name}
datetimeNtpAuthKey	ntpauth-{id}
datetimeNtpIFFClientKey	ntpiff-{iffKeyId}
datetimeNtpProv	ntpprov-{name}
datetimePol	time-{name}
datetimeRsNtpProvToEpg	rsNtpProvToEpg
datetimeRsNtpProvToNtpAuthKey	rsntpProvToNtpAuthKey-{tnDatetimeNtpAuthKeyId}
datetimeRsNtpProvToNtpAuthKey2	rsntpProvToNtpAuthKey2-{tnDatetimeNtpAuthKeyId}
datetimeRsNtpProvToNtpIFFClientKey	rsntpProvToNtpIFFClientKey-{tnDatetimeNtpIFFClientKeyIffKeyId}
dbgDebugP	dbg
dbgFtriage	ftriage-{id}
dbgNodeInst	nodeinst-{nodeId}
dbgOngoingAcMode	ogmode
dbgacAnyToEp	acAnyToEp-{name}
dbgacEpToAny	acEpToAny-{name}
dbgacEpToEp	acEpToEp-{name}
dbgacEpToEpg	epToEpg-{name}
dbgacEpToExt	acEpToExt-{name}
dbgacEpgToEp	epgToEp-{name}
dbgacEpgToEpg	epgToEpg-{name}
dbgacEpgToIp	epgToIp-{name}
dbgacExtToEp	acExtToEp-{name}
dbgacFilter	filt-{name}
dbgacIpToEpg	ipToEpg-{name}
dbgacIpToIp	acIpToIp-{name}
dbgacRsAcExtPolToContext	rsacExtPolToContext
dbgacRsContext	rscontext
dbgacRsFromAbsEpg	rsfromAbsEpg-[{tDn}]
dbgacRsFromEp	rsfromEp-[{tDn}]
dbgacRsFromEpForEpToEpg	rsfromEpForEpToEpg-[{tDn}]
dbgacRsFromEpIp	rsfromEpIp-[{tDn}]
dbgacRsFromEpIpForEpToEpg	rsfromEpIpForEpToEpg-[{tDn}]
dbgacRsFromEpg	rsfromEpg-[{tDn}]
dbgacRsFromEsg	rsfromEsg-[{tDn}]
dbgacRsToAbsEpg	rstoAbsEpg-[{tDn}]
dbgacRsToAbsEpgForEpgToEpg	rstoAbsEpgForEpgToEpg-[{tDn}]
dbgacRsToEp	rstoEp-[{tDn}]
dbgacRsToEpForEpToEp	rstoEpForEpToEp-[{tDn}]
dbgacRsToEpForEpgToEp	rstoEpForEpgToEp-[{tDn}]
dbgacRsToEpIp	rstoEpIp-[{tDn}]
dbgacRsToEpIpForEpToEp	rstoEpIpForEpToEp-[{tDn}]
dbgacRsToEpIpForEpgToEp	rstoEpIpForEpgToEp-[{tDn}]
dbgacRsToEpg	rstoEpg-[{tDn}]
dbgacRsToEpgForEpgToEpg	rstoEpgForEpgToEpg-[{tDn}]
dbgacRsToEsgForEpgToEpg	rstoEsgForEpgToEpg-[{tDn}]
dbgexpCoreP	coreexp-{name}
dbgexpCoreStatus	corenode-{nodeId}
dbgexpPolicyStatus	expstatus-{polName}
dbgexpPolicyStatusInstance	inst-{collectionTime}
dbgexpRsData	rsdata
dbgexpRsExportDest	rsexportDest
dbgexpRsTSOnDScheduler	rsTSOnDScheduler
dbgexpRsTSScheduler	rsTSScheduler
dbgexpRsTsODev	rstsODev-[{tDn}]
dbgexpRsTsSrc	rstsSrc-[{tDn}]
dbgexpRsUserCtx	rsUserCtx
dbgexpSvccoreStatusInstance	ts-{collectionTime}
dbgexpTSDomain	tsdom-{name}
dbgexpTechSupCollect	tsc-[{ident}]
dbgexpTechSupData	tsd-{feature}
dbgexpTechSupDataCont	tscont
dbgexpTechSupODev	tsodev-{name}
dbgexpTechSupOnD	tsod-{name}
dbgexpTechSupP	tsexp-{name}
dbgexpTechSupStatus	tsnode-{nodeId}
dbgexpTechSupTrigCollectLTask	dbgexpTechSupTrigCollectLTask
dbgexpTechSupVmm	tsvmm-{name}
dcDeliveryStatus	dstatus
dcEp	dcep
dcMessage	dm-{category}
dcMessageStatus	dcmessagestatus-[{messageDn}]
dcPolicy	dcpolicy
dcStatusEp	dcstatusep
dcUserKeyCert	userkey
dhcpClientAddr	addr-[{address}]
dhcpClientResp	resp
dhcpDiscNode	bd-[{encap}]-{mac}-[{ciAddr}]
dhcpEp	dhcpopt-{name}
dhcpInfraProvP	infraprovp
dhcpLbl	dhcplbl-{name}
dhcpMsgStats	msgstats-{type}
dhcpMsgStatsv6	msgstatsv6-{typev6}
dhcpNodeConvP	nodeconvp-[{pathEpName}]
dhcpNodeGrp	dhcpndgrp-{name}
dhcpNodeIdentPOper	nodeipoper-{serial}
dhcpOption	opt-{name}
dhcpOptionPol	dhcpoptpol-{name}
dhcpPodGrp	dhcppodgrp-{name}
dhcpRelayAddr	addr-[{vrf}]-[{address}]
dhcpRelayAddrStats	statistics
dhcpRelayGwExtIp	relayGwExtIp
dhcpRelayIfStats	stat
dhcpRelayIfStatsv6	statv6
dhcpRelayP	relayp-{name}
dhcpRsDhcpOptionPol	rsdhcpOptionPol
dhcpRsProv	rsprov-[{tDn}]
dhcpRsRelayP	rsrelayP-{tnDhcpRelayPName}
dhcpRsToNodeGrp	rstoNodeGrp-[{tDn}]
dhcpServerInfo	dhcpserverinfo
dmemotltestBaseConfig	base_config-{vdc}
dmemotltestDmeMotlRoot	dme_motl_root
dnsDom	dom-{name}
dnsDomain	dom-{name}
dnsLbl	dnslbl-{name}
dnsProfile	dnsp-{name}
dnsProv	prov-[{addr}]
dnsProvider	prov-[{addr}]
dnsRsProfileToEpg	rsProfileToEpg
dnsepgDomain	domain-{domain}
dnsepgRsSvrEpg	rssvrEpg
dnsepgSvr	ip-[{ip}]
dnsepgSvrGrp	dnssvrgrp-{name}
dot1xIf	if-[{id}]
dot1xIfStats	ifstats
dppCkt	ckt-[{l2CktEpDn}]
dppIf	if-[{id}]-{direction}
drawCont	cont
drawInst	item-[{oDn}]
dwdmFabIfPol	dwdmfabifpol-{name}
dwdmIfPol	dwdmifpol-{name}
edmEncapDef	encap-{srcCl}-[{epgPKey}]
edmRsCtrlrToDom	rsctrlrToDom
edmRsEncapDef	rsencapDef-[{tDn}]
edmRsExtDevDomP	rsextDevDomP-[{tDn}]
edmRsToNicProfToDom	rstoNicProfToDom-[{tDn}]
edmRsToSvrNic	rstoSvrNic
edrErrDisRecoverPol	edrErrDisRecoverPol-{name}
edrEventP	edrEventP-{event}
eigrpAuthIfP	eigrpAuthIfP
eigrpCtxAfPol	eigrpCtxAfP-{name}
eigrpExtP	eigrpExtP
eigrpIfP	eigrpIfP
eigrpIfPol	eigrpIfPol-{name}
eigrpRsIfPol	rsIfPol
eigrpRsKeyChainPol	rsKeyChainPol
eigrpRtSummPol	eigrprtsumm-{name}
eigrpStubDef	stub
epControlP	epCtrlP-{name}
epIpAgingP	ipAgingP-{name}
